Topic,Topic_Name,Probability
0,0_player_animation_server_issue,[0.93941414 0.00427284 0.00641722 0.00503397]
0,0_player_animation_server_issue,[1.00000000e+000 2.06403386e-308 3.10450854e-308 2.40598210e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.05980120e-308 3.09583646e-308 2.41316611e-308]
-1,-1_player_server_issue_animation,[0.40773287 0.01523022 0.02393262 0.01783202]
0,0_player_animation_server_issue,[0.40997906 0.01559944 0.02452419 0.01792869]
0,0_player_animation_server_issue,[1.00000000e+000 2.06620755e-308 3.11270183e-308 2.40920400e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.06446654e-308 3.10888354e-308 2.40688007e-308]
1,1_survival_livonia_survivor_year,[0.15432003 0.72292048 0.11316067 0.00959882]
1,1_survival_livonia_survivor_year,[0.13109131 0.76428492 0.09646968 0.00815409]
1,1_survival_livonia_survivor_year,[1.61995547e-307 1.00000000e+000 1.20437827e-307 1.01474435e-308]
1,1_survival_livonia_survivor_year,[1.61422182e-307 1.00000000e+000 1.20793816e-307 1.01386006e-308]
1,1_survival_livonia_survivor_year,[0.37001634 0.39028904 0.20393841 0.02420663]
-1,-1_player_server_issue_animation,[0.20771977 0.02970025 0.06634854 0.00967433]
1,1_survival_livonia_survivor_year,[1.70253108e-307 1.00000000e+000 1.55128613e-307 1.05039942e-308]
0,0_player_animation_server_issue,[0.70165938 0.04929088 0.09794961 0.02261812]
0,0_player_animation_server_issue,[0.71591187 0.04971083 0.09860214 0.02290504]
0,0_player_animation_server_issue,[1.00000000e+000 3.17102395e-308 5.92763925e-308 1.62077402e-308]
0,0_player_animation_server_issue,[1.00000000e+000 3.17502670e-308 5.95550222e-308 1.63316462e-308]
0,0_player_animation_server_issue,[1.00000000e+000 3.16169730e-308 6.01001311e-308 1.70602094e-308]
0,0_player_animation_server_issue,[1.00000000e+000 3.16004436e-308 5.99015058e-308 1.69191137e-308]
0,0_player_animation_server_issue,[1.00000000e+000 3.10930618e-308 5.77914453e-308 1.66808953e-308]
0,0_player_animation_server_issue,[1.00000000e+000 3.08935883e-308 5.70154045e-308 1.66058118e-308]
0,0_player_animation_server_issue,[0.86630287 0.04004441 0.06999813 0.02365459]
0,0_player_animation_server_issue,[0.84199167 0.03140267 0.05470855 0.01931603]
0,0_player_animation_server_issue,[1.00000000e+000 2.65732181e-308 4.42760125e-308 1.79096434e-308]
0,0_player_animation_server_issue,[0.88628676 0.01106745 0.01836338 0.00755005]
0,0_player_animation_server_issue,[1.00000000e+000 2.07758771e-308 3.13926957e-308 2.38393201e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.07082318e-308 3.12283007e-308 2.39740131e-308]
-1,-1_player_server_issue_animation,[0.30650569 0.10836176 0.1454096  0.01757934]
0,0_player_animation_server_issue,[1.00000000e+000 2.78811003e-308 4.75440697e-308 1.81712781e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.78855646e-308 4.76454298e-308 1.82333100e-308]
1,1_survival_livonia_survivor_year,[1.68371858e-307 1.00000000e+000 1.50148982e-307 1.03889083e-308]
0,0_player_animation_server_issue,[0.85905337 0.03342481 0.05832419 0.0205182 ]
0,0_player_animation_server_issue,[0.84655818 0.03188347 0.05558533 0.01964932]
0,0_player_animation_server_issue,[0.93455038 0.00766957 0.01566716 0.00271453]
0,0_player_animation_server_issue,[0.51917582 0.03074077 0.05306453 0.02275478]
0,0_player_animation_server_issue,[0.51853851 0.03071312 0.053016   0.02269902]
0,0_player_animation_server_issue,[1.00000000e+000 2.59074841e-308 4.26891473e-308 1.83116490e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.60235846e-308 4.30011511e-308 1.83362773e-308]
0,0_player_animation_server_issue,[0.51243618 0.03037251 0.05234374 0.02266673]
0,0_player_animation_server_issue,[0.48387417 0.0296098  0.05085959 0.02207892]
0,0_player_animation_server_issue,[1.00000000e+000 2.08411994e-308 3.16652274e-308 2.41492624e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.09826974e-308 3.20065841e-308 2.42153291e-308]
0,0_player_animation_server_issue,[0.95445643 0.01339552 0.02199243 0.00944774]
0,0_player_animation_server_issue,[0.95492764 0.0134706  0.02212638 0.00947539]
0,0_player_animation_server_issue,[1.00000000e+000 2.59744782e-308 4.28639437e-308 1.84690035e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.56392551e-308 4.20559164e-308 1.83943029e-308]
0,0_player_animation_server_issue,[0.36070619 0.02973678 0.06385635 0.01468202]
0,0_player_animation_server_issue,[0.35867001 0.02949074 0.06322647 0.01459963]
0,0_player_animation_server_issue,[1.00000000e+000 3.21546019e-308 6.06564649e-308 1.60327549e-308]
0,0_player_animation_server_issue,[1.00000000e+000 3.19007562e-308 5.97725849e-308 1.60349699e-308]
1,1_survival_livonia_survivor_year,[0.18517101 0.65808124 0.12955677 0.01195447]
-1,-1_player_server_issue_animation,[0.49129314 0.01923713 0.03003754 0.02436895]
-1,-1_player_server_issue_animation,[0.33310875 0.01305468 0.02042512 0.01614841]
0,0_player_animation_server_issue,[1.00000000e+000 2.38771518e-308 3.69388075e-308 3.72702113e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.37681720e-308 3.66915878e-308 3.75005454e-308]
1,1_survival_livonia_survivor_year,[0.28036505 0.44302803 0.16644482 0.01853077]
0,0_player_animation_server_issue,[0.77650424 0.03156542 0.05176827 0.02508723]
0,0_player_animation_server_issue,[0.77439237 0.0323264  0.05302943 0.02589282]
-1,-1_player_server_issue_animation,[0.4499042  0.0212583  0.03392443 0.02014065]
-1,-1_player_server_issue_animation,[0.26776261 0.01296083 0.02077432 0.01179297]
0,0_player_animation_server_issue,[1.00000000e+000 2.38960230e-308 4.01578624e-308 2.39386353e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.40227379e-308 4.05059752e-308 2.38949428e-308]
3,3_infected_military_player_server,[3.20294978e-307 1.70203463e-308 2.37603518e-308 1.00000000e+000]
3,3_infected_military_player_server,[0.03763593 0.00201493 0.002812   0.92543386]
0,0_player_animation_server_issue,[1.00000000e+000 2.41602354e-308 4.09316061e-308 2.40566115e-308]
0,0_player_animation_server_issue,[0.69172704 0.01365712 0.02323794 0.01367075]
0,0_player_animation_server_issue,[1.00000000e+000 2.70725327e-308 4.55299218e-308 1.80744497e-308]
1,1_survival_livonia_survivor_year,[0.13088274 0.76105736 0.09972983 0.00833008]
0,0_player_animation_server_issue,[1.00000000e+000 2.39720928e-308 3.71150134e-308 3.76139999e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.40344497e-308 3.72542177e-308 3.88285255e-308]
3,3_infected_military_player_server,[0.02584097 0.0012771  0.00178988 0.94798476]
3,3_infected_military_player_server,[3.43924734e-307 1.70442883e-308 2.38820825e-308 1.00000000e+000]
0,0_player_animation_server_issue,[1.00000000e+000 1.82220125e-308 2.59586177e-308 6.43943827e-308]
0,0_player_animation_server_issue,[1.00000000e+000 1.82133996e-308 2.59400424e-308 6.47917349e-308]
0,0_player_animation_server_issue,[0.85989089 0.04237541 0.07742941 0.02030429]
0,0_player_animation_server_issue,[1.00000000e+000 1.80592670e-308 2.56634631e-308 7.81412838e-308]
0,0_player_animation_server_issue,[1.00000000e+000 1.80728284e-308 2.56853769e-308 7.37357358e-308]
0,0_player_animation_server_issue,[0.80857295 0.00986019 0.01399514 0.03419773]
0,0_player_animation_server_issue,[1.00000000e+000 1.81758566e-308 2.58579174e-308 6.56605630e-308]
0,0_player_animation_server_issue,[0.73795591 0.02033477 0.02939497 0.06944538]
0,0_player_animation_server_issue,[0.59112896 0.01847987 0.02681976 0.05907867]
-1,-1_player_server_issue_animation,[0.28746474 0.02687429 0.05339596 0.01602703]
0,0_player_animation_server_issue,[1.00000000e+000 1.82085554e-308 2.59275015e-308 6.90035663e-308]
0,0_player_animation_server_issue,[1.00000000e+000 1.82156502e-308 2.59517543e-308 6.86782729e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.39991301e-308 4.03050613e-308 2.36353089e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.41635019e-308 4.07413993e-308 2.34662312e-308]
0,0_player_animation_server_issue,[0.919154   0.00598124 0.00851082 0.02960741]
0,0_player_animation_server_issue,[0.81842118 0.01216029 0.01729908 0.06477875]
0,0_player_animation_server_issue,[1.00000000e+000 1.81549151e-308 2.58536474e-308 8.92425480e-308]
0,0_player_animation_server_issue,[0.83023652 0.01256658 0.01784407 0.06758512]
-1,-1_player_server_issue_animation,[0.18338696 0.1385491  0.22243281 0.0111862 ]
-1,-1_player_server_issue_animation,[0.63904121 0.02204949 0.03242656 0.06014259]
